,S.NO.,Bowler,Overs,Maidens,Runs,Wickets,ECON,0s,4s,6s,WD,NB,Country
448,2,Nasum Ahmed,4,0,14,1,3.50,13,0,0,2,0,Bangladesh
449,3,Shakib Al Hasan,4,0,35,1,8.75,6,5,0,0,0,Bangladesh
450,4,Mustafizur Rahman,4,0,21,1,5.25,8,0,0,0,0,Bangladesh
451,5,Ebadot Hossain,3.1,0,25,1,7.89,7,1,1,0,1,Bangladesh
452,1,Richard Ngarava,4,1,44,1,11.00,12,2,4,1,1,Zimbabwe
453,2,Tendai Chatara,4,0,34,0,8.50,5,3,1,0,0,Zimbabwe
454,3,Blessing Muzarabani,4,0,50,1,12.50,5,8,0,1,0,Zimbabwe
455,4,Wellington Masakadza,2,0,12,0,6.00,5,1,0,1,0,Zimbabwe
456,5,Ryan Burl,1,0,14,0,14.00,1,1,1,0,0,Zimbabwe
457,6,Sikandar Raza,3,0,18,1,6.00,5,0,1,0,0,Zimbabwe
458,7,Sean Williams,2,0,9,2,4.50,6,0,0,2,0,Zimbabwe
459,1,Bhuvneshwar Kumar,3,1,11,1,3.66,14,1,0,1,0,India
460,2,Arshdeep Singh,2,0,9,1,4.50,9,1,0,2,0,India
461,3,Mohammed Shami,2,0,14,2,7.00,7,1,1,0,0,India
462,4,Hardik Pandya,3,0,16,2,5.33,10,1,0,2,1,India
463,5,Ravichandran Ashwin,4,0,22,3,5.50,13,3,0,1,0,India
464,6,Axar Patel,3.2,0,40,1,12.00,4,5,1,0,0,India
465,1,Shaheen Shah Afridi,4,0,24,2,6.00,11,2,0,0,0,Pakistan
466,2,Naseem Shah,4,0,30,0,7.50,8,3,0,0,0,Pakistan
467,3,Haris Rauf,4,0,32,0,8.00,6,2,0,0,0,Pakistan
468,4,Mohammad Wasim,2,0,15,0,7.50,3,0,1,0,0,Pakistan
469,5,Shadab Khan,4,0,33,0,8.25,7,3,1,0,0,Pakistan
470,6,Mohammad Nawaz,2,0,12,1,6.00,2,0,0,0,0,Pakistan
471,1,Trent Boult,4,0,33,2,8.25,9,5,0,0,0,New Zealand
472,2,Tim Southee,3.1,0,24,0,7.57,7,3,0,2,0,New Zealand
473,3,Lockie Ferguson,4,0,37,0,9.25,7,4,1,1,0,New Zealand
474,4,Mitchell Santner,4,0,26,1,6.50,6,1,0,0,0,New Zealand
475,5,Ish Sodhi,4,0,26,0,6.50,4,1,0,0,0,New Zealand
476,1,Ben Stokes,2,0,18,0,9.00,5,2,1,0,0,England
477,2,Chris Woakes,3,0,24,1,8.00,5,1,1,2,0,England
478,3,Sam Curran,4,0,42,0,10.50,9,5,2,0,0,England
479,4,Adil Rashid,4,0,20,1,5.00,8,1,0,0,0,England
480,5,Liam Livingstone,3,0,21,0,7.00,7,3,0,0,0,England
481,6,Chris Jordan,4,0,43,3,10.75,8,3,3,1,0,England
482,1,Bhuvneshwar Kumar,2,0,25,0,12.50,4,3,1,1,0,India
483,2,Arshdeep Singh,2,0,15,0,7.50,4,2,0,1,0,India
484,3,Axar Patel,4,0,30,0,7.50,10,2,2,0,0,India
485,4,Mohammed Shami,3,0,39,0,13.00,7,4,3,0,0,India
486,5,Ravichandran Ashwin,2,0,27,0,13.50,1,1,2,1,0,India
487,6,Hardik Pandya,3,0,34,0,11.33,5,1,2,0,0,India
488,1,Ben Stokes,4,0,32,1,8.00,6,1,0,2,1,England
489,2,Chris Woakes,3,0,26,0,8.66,7,2,1,2,0,England
490,3,Sam Curran,4,0,12,3,3.00,15,0,0,0,0,England
491,4,Adil Rashid,4,1,22,2,5.50,10,1,0,1,0,England
492,5,Chris Jordan,4,0,27,2,6.75,9,3,0,0,0,England
493,6,Liam Livingstone,1,0,16,0,16.00,1,1,1,1,0,England
494,1,Shaheen Shah Afridi,2.1,0,13,1,6.00,6,1,0,0,0,Pakistan
495,2,Naseem Shah,4,0,30,0,7.50,15,3,1,1,0,Pakistan
496,3,Haris Rauf,4,0,23,2,5.75,13,3,0,1,0,Pakistan
497,4,Shadab Khan,4,0,20,1,5.00,10,1,0,0,0,Pakistan
498,5,Mohammad Wasim,4,0,38,1,9.50,5,5,0,2,0,Pakistan
499,6,Iftikhar Ahmed,0.5,0,13,0,15.60,0,1,1,0,0,Pakistan
