,S.NO.,Bowler,Overs,Maidens,Runs,Wickets,ECON,0s,4s,6s,WD,NB,Country
208,4,Keshav Maharaj,1,0,10,0,10.00,1,1,0,0,0,South Africa
209,5,Anrich Nortje,2,0,10,1,5.00,5,0,0,0,0,South Africa
210,1,Tendai Chatara,1,0,23,0,23.00,0,4,1,0,0,Zimbabwe
211,2,Richard Ngarava,1,0,17,0,17.00,2,4,0,0,1,Zimbabwe
212,3,Sikandar Raza,1,0,11,0,11.00,1,0,0,0,1,Zimbabwe
213,1,Josh Hazlewood,4,0,26,1,6.50,13,3,0,3,0,Australia
214,2,Pat Cummins,4,0,36,1,9.00,12,5,1,2,0,Australia
215,3,Mitchell Starc,4,0,23,1,5.75,13,1,0,1,0,Australia
216,4,Ashton Agar,4,0,25,1,6.25,8,1,0,1,0,Australia
217,5,Marcus Stoinis,2,0,17,0,8.50,1,1,0,1,0,Australia
218,6,Mitchell Marsh,1,0,14,0,14.00,1,1,1,0,0,Australia
219,7,Glenn Maxwell,1,0,5,1,5.00,2,0,0,0,0,Australia
220,1,Binura Fernando,0.5,0,5,0,6.00,2,0,0,0,0,Sri Lanka
221,2,Dhananjaya de Silva,2.1,0,18,1,8.30,4,1,1,0,0,Sri Lanka
222,3,Lahiru Kumara,3.3,0,22,0,6.28,15,0,1,3,0,Sri Lanka
223,4,Chamika Karunaratne,3,0,20,1,6.66,6,1,0,1,0,Sri Lanka
224,5,Maheesh Theekshana,3,0,23,1,7.66,11,0,3,1,0,Sri Lanka
225,6,Wanindu Hasaranga de Silva,3,0,53,0,17.66,0,3,5,0,0,Sri Lanka
226,7,Dasun Shanaka,1,0,10,0,10.00,2,2,0,0,0,Sri Lanka
227,1,Ben Stokes,2.2,0,8,1,3.42,7,0,0,0,0,England
228,2,Chris Woakes,3,0,41,0,13.66,4,6,1,2,0,England
229,3,Mark Wood,4,0,34,3,8.50,13,4,1,2,0,England
230,4,Sam Curran,3,0,31,2,10.33,7,1,2,0,0,England
231,5,Adil Rashid,4,0,24,0,6.00,6,1,0,0,0,England
232,6,Liam Livingstone,3,0,17,3,5.66,5,1,0,0,0,England
233,1,Josh Little,3,0,16,2,5.33,11,2,0,2,0,Ireland
234,2,Mark Adair,2,0,10,0,5.00,5,0,0,0,0,Ireland
