,batting_position,Batter,Dismissal,Runs,Balls,Minutes,4s,6s,SR,Country
664,3,Kane Williamson(c), b Shaheen Shah Afridi,46,42,81,1,1,109.52,New Zealand
665,4,Glenn Phillips,c & b Mohammad Nawaz,6,8,9,1,0,75.00,New Zealand
666,5,Daryl Mitchell,not out ,53,35,60,3,1,151.42,New Zealand
667,6,James Neesham,not out ,16,12,19,1,0,133.33,New Zealand
668,1,Mohammad Rizwan(WK),c Phillips b Boult,57,43,77,5,0,132.55,Pakistan
669,2,Babar Azam(c),c Mitchell b Boult,53,42,56,7,0,126.19,Pakistan
670,3,Mohammad Haris,c Allen b Santner,30,26,32,2,1,115.38,Pakistan
671,4,Shan Masood,not out ,3,4,13,0,0,75.00,Pakistan
672,5,Iftikhar Ahmed,not out ,0,0,3,0,0,-,Pakistan
673,1,KL Rahul,c (WK)Buttler b Woakes,5,5,8,1,0,100.00,India
674,2,Rohit Sharma(c),c Curran b Jordan,27,28,37,4,0,96.42,India
675,3,Virat Kohli,c Rashid b Jordan,50,40,75,4,1,125.00,India
676,4,Suryakumar Yadav,c Salt b Rashid,14,10,14,1,1,140.00,India
677,5,Hardik Pandya,hit wicket b Jordan,63,33,47,4,5,190.90,India
678,6,Rishabh Pant(WK),run out ((WK)Buttler/Jordan),6,4,13,1,0,150.00,India
679,7,Ravichandran Ashwin,not out ,0,0,4,0,0,-,India
680,1,Jos Buttler(c)(WK),not out ,80,49,74,9,3,163.26,England
681,2,Alex Hales,not out ,86,47,74,4,7,182.97,England
682,1,Mohammad Rizwan(WK), b Curran,15,14,24,0,1,107.14,Pakistan
683,2,Babar Azam(c),c & b Rashid,32,28,58,2,0,114.28,Pakistan
684,3,Mohammad Haris,c Stokes b Rashid,8,12,15,1,0,66.66,Pakistan
685,4,Shan Masood,c Livingstone b Curran,38,28,46,2,1,135.71,Pakistan
686,5,Iftikhar Ahmed,c (WK)Buttler b Stokes,0,6,8,0,0,0.00,Pakistan
687,6,Shadab Khan,c Woakes b Jordan,20,14,26,2,0,142.85,Pakistan
688,7,Mohammad Nawaz,c Livingstone b Curran,5,7,11,0,0,71.42,Pakistan
689,8,Mohammad Wasim,c Livingstone b Jordan,4,8,12,0,0,50.00,Pakistan
690,9,Shaheen Shah Afridi,not out ,5,3,8,1,0,166.66,Pakistan
691,10,Haris Rauf,not out ,1,1,3,0,0,100.00,Pakistan
692,1,Jos Buttler(c)(WK),c (WK)Mohammad Rizwan b Haris Rauf,26,17,33,3,1,152.94,England
693,2,Alex Hales, b Shaheen Shah Afridi,1,2,6,0,0,50.00,England
694,3,Phil Salt,c Iftikhar Ahmed b Haris Rauf,10,9,16,2,0,111.11,England
695,4,Ben Stokes,not out ,52,49,81,5,1,106.12,England
696,5,Harry Brook,c Shaheen Shah Afridi b Shadab Khan,20,23,36,1,0,86.95,England
697,6,Moeen Ali, b Mohammad Wasim,19,13,30,3,0,146.15,England
698,7,Liam Livingstone,not out ,1,1,3,0,0,100.00,England
