,batting_position,Batter,Dismissal,Runs,Balls,Minutes,4s,6s,SR,Country
450,6,Tristan Stubbs,lbw b Ashwin,6,6,15,1,0,100.00,South Africa
451,7,Wayne Parnell,not out ,2,5,11,0,0,40.00,South Africa
452,1,David Warner,c Adair b McCarthy,3,7,13,0,0,42.85,Australia
453,2,Aaron Finch(c),c Adair b McCarthy,63,44,87,5,3,143.18,Australia
454,3,Mitchell Marsh,c (WK)Tucker b McCarthy,28,22,28,2,2,127.27,Australia
455,4,Glenn Maxwell,c (WK)Tucker b Little,13,9,18,0,1,144.44,Australia
456,5,Marcus Stoinis,c Dockrell b Little,35,25,41,3,1,140.00,Australia
457,6,Tim David,not out ,15,10,15,2,0,150.00,Australia
458,7,Matthew Wade(WK),not out ,7,3,7,1,0,233.33,Australia
459,1,Paul Stirling,c Cummins b Maxwell,11,7,11,1,1,157.14,Ireland
460,2,Andy Balbirnie(c), b Cummins,6,7,11,0,1,85.71,Ireland
461,3,Lorcan Tucker(WK),not out ,71,48,81,9,1,147.91,Ireland
462,4,Harry Tector,c sub (SPD Smith) b Maxwell,6,4,3,1,0,150.00,Ireland
463,5,Curtis Campher, b Starc,0,1,5,0,0,0.00,Ireland
464,6,George Dockrell, b Starc,0,4,4,0,0,0.00,Ireland
465,7,Gareth Delany,c Maxwell b Stoinis,14,10,27,2,0,140.00,Ireland
466,8,Mark Adair,st (WK)Wade b Zampa,11,11,13,1,0,100.00,Ireland
467,9,Fionn Hand, b Zampa,6,6,10,1,0,100.00,Ireland
468,10,Barry McCarthy,c sub (SPD Smith) b Cummins,3,7,16,0,0,42.85,Ireland
469,11,Josh Little,run out (Marsh/Maxwell),1,5,6,0,0,20.00,Ireland
470,1,Rahmanullah Gurbaz(WK), b Kumara,28,24,33,2,2,116.66,Afghanistan
471,2,Usman Ghani,c Shanaka b PWH de Silva,27,27,54,2,1,100.00,Afghanistan
472,3,Ibrahim Zadran,c Rajapaksa b Kumara,22,18,35,1,1,122.22,Afghanistan
473,4,Najibullah Zadran,c PWH de Silva b DM de Silva,18,16,29,1,0,112.50,Afghanistan
474,5,Gulbadin Naib,run out (Nissanka/(WK)Mendis),12,14,25,0,0,85.71,Afghanistan
475,6,Mohammad Nabi(c),c Shanaka b Rajitha,13,8,15,1,0,162.50,Afghanistan
476,7,Rashid Khan, b PWH de Silva,9,8,10,1,0,112.50,Afghanistan
477,8,Azmatullah Omarzai,not out ,3,4,3,0,0,75.00,Afghanistan
478,9,Mujeeb Ur Rahman,st (WK)Mendis b PWH de Silva,1,2,1,0,0,50.00,Afghanistan
479,1,Pathum Nissanka, b Mujeeb Ur Rahman,10,10,10,2,0,100.00,Sri Lanka
480,2,Kusal Mendis(WK),c (WK)Rahmanullah Gurbaz b Rashid Khan,25,27,33,2,1,92.59,Sri Lanka
481,3,Dhananjaya de Silva,not out ,66,42,78,6,2,157.14,Sri Lanka
482,4,Charith Asalanka,c Azmatullah Omarzai b Rashid Khan,19,18,27,1,0,105.55,Sri Lanka
483,5,Bhanuka Rajapaksa,c (WK)Rahmanullah Gurbaz b Mujeeb Ur Rahman,18,14,24,3,0,128.57,Sri Lanka
484,6,Dasun Shanaka(c),not out ,0,0,4,0,0,-,Sri Lanka
485,1,Jos Buttler(c)(WK),run out (Williamson/Southee),73,47,82,7,2,155.31,England
486,2,Alex Hales,st (WK)Conway b Santner,52,40,46,7,1,130.00,England
487,3,Moeen Ali,c Boult b Sodhi,5,6,13,0,0,83.33,England
488,4,Liam Livingstone, b Ferguson,20,14,20,1,1,142.85,England
489,5,Harry Brook,c Allen b Southee,7,3,6,0,1,233.33,England
490,6,Ben Stokes,lbw b Ferguson,8,7,11,0,0,114.28,England
491,7,Sam Curran,not out ,6,3,7,0,1,200.00,England
492,8,Dawid Malan,not out ,3,1,1,0,0,300.00,England
493,1,Finn Allen,c Stokes b Curran,16,11,25,0,1,145.45,New Zealand
494,2,Devon Conway(WK),c (WK)Buttler b Woakes,3,9,12,0,0,33.33,New Zealand
495,3,Kane Williamson(c),c Rashid b Stokes,40,40,57,3,0,100.00,New Zealand
496,4,Glenn Phillips,c sub (CJ Jordan) b Curran,62,36,64,4,3,172.22,New Zealand
497,5,James Neesham,c Curran b Wood,6,3,7,1,0,200.00,New Zealand
498,6,Daryl Mitchell,c sub (CJ Jordan) b Woakes,3,5,10,0,0,60.00,New Zealand
499,7,Mitchell Santner,not out ,16,10,19,0,1,160.00,New Zealand
500,8,Ish Sodhi,not out ,6,6,4,0,0,100.00,New Zealand
501,1,Wessly Madhevere, b van Meekeren,1,5,9,0,0,20.00,Zimbabwe
502,2,Craig Ervine(c),c (WK)Edwards b Glover,3,12,18,0,0,25.00,Zimbabwe
503,3,Regis Chakabva(WK),lbw b Glover,5,16,18,1,0,31.25,Zimbabwe
504,4,Sean Williams,c O'Dowd b van Meekeren,28,23,39,3,0,121.73,Zimbabwe
505,5,Sikandar Raza,c Klaassen b de Leede,40,24,46,3,3,166.66,Zimbabwe
506,6,Milton Shumba,c Myburgh b van Beek,2,3,6,0,0,66.66,Zimbabwe
507,7,Ryan Burl, b van Meekeren,2,7,19,0,0,28.57,Zimbabwe
508,8,Luke Jongwe,c van Beek b de Leede,6,8,12,0,0,75.00,Zimbabwe
509,9,Richard Ngarava,c Myburgh b Klaassen,9,7,12,0,1,128.57,Zimbabwe
510,10,Tendai Chatara,not out ,6,7,15,0,0,85.71,Zimbabwe
511,11,Blessing Muzarabani,c Glover b van Beek,1,4,9,0,0,25.00,Zimbabwe
512,1,Stephan Myburgh,c Burl b Muzarabani,8,7,15,0,1,114.28,Netherlands
513,2,Max O'Dowd,c Shumba b Muzarabani,52,47,70,8,1,110.63,Netherlands
514,3,Tom Cooper,c Madhevere b Jongwe,32,29,42,2,1,110.34,Netherlands
515,4,Colin Ackermann,c Jongwe b Ngarava,1,5,6,0,0,20.00,Netherlands
516,5,Bas de Leede,not out ,12,12,21,2,0,100.00,Netherlands
517,6,Scott Edwards(c)(WK),c (WK)Chakabva b Ngarava,5,6,8,1,0,83.33,Netherlands
518,7,Roelof van der Merwe,not out ,0,3,6,0,0,0.00,Netherlands
519,1,KL Rahul,c Mustafizur Rahman b Shakib Al Hasan,50,32,49,3,4,156.25,India
520,2,Rohit Sharma(c),c Yasir Ali b Hasan Mahmud,2,8,18,0,0,25.00,India
521,3,Virat Kohli,not out ,64,44,84,8,1,145.45,India
522,4,Suryakumar Yadav, b Shakib Al Hasan,30,16,18,4,0,187.50,India
523,5,Hardik Pandya,c Yasir Ali b Hasan Mahmud,5,6,8,0,0,83.33,India
524,6,Dinesh Karthik(WK),run out (Shakib Al Hasan/Shoriful Islam),7,5,12,1,0,140.00,India
525,7,Axar Patel,c Shakib Al Hasan b Hasan Mahmud,7,6,6,1,0,116.66,India
526,8,Ravichandran Ashwin,not out ,13,6,9,1,1,216.66,India
527,1,Najmul Hossain Shanto,c Yadav b Mohammed Shami,21,25,50,1,1,84.00,Bangladesh
528,2,Litton Das,run out (Rahul),60,27,40,7,3,222.22,Bangladesh
529,3,Shakib Al Hasan(c),c sub (DJ Hooda) b Arshdeep Singh,13,12,24,2,0,108.33,Bangladesh
530,4,Afif Hossain,c Yadav b Arshdeep Singh,3,5,12,0,0,60.00,Bangladesh
531,5,Yasir Ali,c Arshdeep Singh b Pandya,1,3,8,0,0,33.33,Bangladesh
532,6,Nurul Hasan(WK),not out ,25,14,29,2,1,178.57,Bangladesh
533,7,Mosaddek Hossain, b Pandya,6,3,4,0,1,200.00,Bangladesh
534,8,Taskin Ahmed,not out ,12,7,22,1,1,171.42,Bangladesh
535,1,Mohammad Rizwan(WK), b Parnell,4,4,4,1,0,100.00,Pakistan
536,2,Babar Azam(c),c Rabada b Ngidi,6,15,29,0,0,40.00,Pakistan
537,3,Mohammad Haris,lbw b Nortje,28,11,19,2,3,254.54,Pakistan
538,4,Shan Masood,c Bavuma b Nortje,2,6,11,0,0,33.33,Pakistan
539,5,Iftikhar Ahmed,c Rossouw b Rabada,51,35,73,3,2,145.71,Pakistan
540,6,Mohammad Nawaz,lbw b Shamsi,28,22,32,4,1,127.27,Pakistan
541,7,Shadab Khan,c Stubbs b Nortje,52,22,31,3,4,236.36,Pakistan
542,8,Mohammad Wasim,c Bavuma b Nortje,0,1,1,0,0,0.00,Pakistan
543,9,Naseem Shah,not out ,5,3,3,0,0,166.66,Pakistan
544,10,Haris Rauf,run out (Klaasen/Bavuma),3,2,2,0,0,150.00,Pakistan
545,1,Temba Bavuma(c),c (WK)Mohammad Rizwan b Shadab Khan,36,19,39,4,1,189.47,South Africa
546,2,Quinton de Kock(WK),c Mohammad Haris b Shaheen Shah Afridi,0,5,6,0,0,0.00,South Africa
547,3,Rilee Rossouw,c Naseem Shah b Shaheen Shah Afridi,7,6,10,0,1,116.66,South Africa
548,4,Aiden Markram, b Shadab Khan,20,14,28,4,0,142.85,South Africa
549,5,Heinrich Klaasen,c Mohammad Wasim b Shaheen Shah Afridi,15,9,18,3,0,166.66,South Africa
550,6,Tristan Stubbs,c Mohammad Nawaz b Naseem Shah,18,18,28,0,1,100.00,South Africa
551,7,Wayne Parnell,lbw b Mohammad Wasim,3,4,9,0,0,75.00,South Africa
552,8,Kagiso Rabada,run out (Mohammad Nawaz/Haris Rauf),1,2,11,0,0,50.00,South Africa
553,9,Anrich Nortje,c Mohammad Haris b Haris Rauf,1,5,8,0,0,20.00,South Africa
554,10,Lungi Ngidi,not out ,4,1,5,1,0,400.00,South Africa
555,11,Tabraiz Shamsi,not out ,1,1,3,0,0,100.00,South Africa
556,1,Finn Allen,c Hand b Adair,32,18,30,5,1,177.77,New Zealand
557,2,Devon Conway(WK),c Adair b Delany,28,33,55,2,0,84.84,New Zealand
558,3,Kane Williamson(c),c Delany b Little,61,35,59,5,3,174.28,New Zealand
559,4,Glenn Phillips,c Dockrell b Delany,17,9,9,2,1,188.88,New Zealand
560,5,Daryl Mitchell,not out ,31,21,35,2,0,147.61,New Zealand
561,6,James Neesham,lbw b Little,0,1,3,0,0,0.00,New Zealand
562,7,Mitchell Santner,lbw b Little,0,1,2,0,0,0.00,New Zealand
